District Code, YearMonth, Number of Crimes
D14,201809,56
D14,201808,556
D14,201806,548
D14,201807,473
D14,201711,526
D14,201710,633
D14,201708,502
D14,201805,582
D14,201706,600
D14,201712,466
D14,201802,421
D14,201601,484
D14,201701,470
D14,201804,444
D14,201709,663
D14,201803,505
D14,201607,580
D14,201704,477
D14,201507,469
D14,201703,497
D14,201801,474
D14,201702,488
D14,201608,567
D14,201506,254
D14,201707,593
D14,201605,555
D14,201609,536
D14,201705,594
D14,201610,559
D14,201604,486
D14,201512,469
D14,201612,524
D14,201606,516
D14,201511,438
D14,201611,526
D14,201603,456
D14,201510,533
D14,201509,575
D14,201602,490
D14,201508,542
C11,201809,100
C11,201808,1004
C11,201806,1184
C11,201807,1130
C11,201711,1001
C11,201710,1114
C11,201708,1207
C11,201805,1199
C11,201706,1094
C11,201712,991
C11,201802,873
C11,201601,1132
C11,201701,1151
C11,201804,948
C11,201709,1153
C11,201803,895
C11,201607,1172
C11,201704,1104
C11,201507,1227
C11,201703,1093
C11,201801,949
C11,201702,1048
C11,201608,1188
C11,201506,576
C11,201707,1135
C11,201605,1206
C11,201609,1131
C11,201705,1190
C11,201610,1103
C11,201604,1156
C11,201512,1143
C11,201612,1087
C11,201606,1127
C11,201511,1048
C11,201611,1115
C11,201603,1187
C11,201510,1119
C11,201509,1147
C11,201602,999
C11,201508,1104
D4,201809,58
D4,201808,1075
D4,201806,1192
D4,201807,1165
D4,201711,983
D4,201710,1154
D4,201708,1176
D4,201805,1174
D4,201706,1187
D4,201712,1001
D4,201802,888
D4,201601,917
D4,201701,1039
D4,201804,1055
D4,201709,1204
D4,201803,1033
D4,201607,1145
D4,201704,1077
D4,201507,1131
D4,201703,1008
D4,201801,961
D4,201702,988
D4,201608,1149
D4,201506,572
D4,201707,1223
D4,201605,1116
D4,201609,1147
D4,201705,1117
D4,201610,1185
D4,201604,993
D4,201512,1084
D4,201612,1030
D4,201606,1122
D4,201511,1117
D4,201611,1088
D4,201603,1078
D4,201510,1072
D4,201509,1112
D4,201602,983
D4,201508,1116
B3,201809,70
B3,201808,954
B3,201806,1010
B3,201807,977
B3,201711,884
B3,201710,1020
B3,201708,1061
B3,201805,1012
B3,201706,964
B3,201712,822
B3,201802,727
B3,201601,865
B3,201701,906
B3,201804,924
B3,201709,957
B3,201803,907
B3,201607,919
B3,201704,843
B3,201507,891
B3,201703,929
B3,201801,904
B3,201702,853
B3,201608,1078
B3,201506,453
B3,201707,964
B3,201605,988
B3,201609,964
B3,201705,992
B3,201610,981
B3,201604,953
B3,201512,899
B3,201612,876
B3,201606,966
B3,201511,845
B3,201611,920
B3,201603,844
B3,201510,835
B3,201509,817
B3,201602,791
B3,201508,877
B2,201809,99
B2,201808,1218
B2,201806,1354
B2,201807,1283
B2,201711,1231
B2,201710,1304
B2,201708,1399
B2,201805,1298
B2,201706,1421
B2,201712,1184
B2,201802,1022
B2,201601,1362
B2,201701,1228
B2,201804,1223
B2,201709,1327
B2,201803,1183
B2,201607,1262
B2,201704,1289
B2,201507,1329
B2,201703,1373
B2,201801,1192
B2,201702,1126
B2,201608,1362
B2,201506,695
B2,201707,1417
B2,201605,1373
B2,201609,1337
B2,201705,1381
B2,201610,1337
B2,201604,1377
B2,201512,1268
B2,201612,1222
B2,201606,1333
B2,201511,1293
B2,201611,1183
B2,201603,1402
B2,201510,1373
B2,201509,1387
B2,201602,1156
B2,201508,1342
C6,201809,46
C6,201808,748
C6,201806,685
C6,201807,671
